commit	combined_metric	recall_1	recall_5	mean_cosine	distill_loss	peak_vram_mb	status	description
8197bef	0.747464	0.839800	0.899400	0.655128	0.354689	960.8	keep	baseline: trendyol_onnx teacher, default settings + SWA fix
ee5d46b	0.731637	0.832400	0.000000	0.630900	0.000000	960.8	discard	LR=1e-3 (conservative, worse than baseline)
32d2d79	0.778169	0.839600	0.899000	0.716739	0.287875	3038.7	keep	TEACHER=dinov3_ft (1280d), LR=2e-3, fix proj_heads dim mismatch
5f5fe66	0.755350	0.843600	0.900800	0.667100	0.305284	3473.6	discard	multi-teacher trendyol(0.3)+dinov3_ft(0.7) -- lower mean_cosine
e5a36d6	0.793484	0.847200	0.904000	0.739768	0.266834	3038.7	keep	dinov3_ft + LR=5e-3 (aggressive LR works well)
7ce218d	0.778324	0.836600	0.894200	0.720047	0.283316	4039.8	discard	BATCH_SIZE=512 -- fewer steps/epoch hurts
4207802	0.802173	0.846600	0.903400	0.757747	0.250936	3038.7	keep	BACKBONE_LR_MULT=0.5 (more backbone training helps)
2717602	0.805330	0.849400	0.907400	0.761259	0.248376	3038.7	keep	BACKBONE_LR_MULT=1.0 (full backbone LR, slight further gain)
c211e84	0.806632	0.823400	0.888400	0.789864	0.224289	2753.5	discard	USE_ARCFACE=False -- higher cosine but recall@1 drops badly (0.823 vs 0.849)
9b6ca8c	0.790727	0.848400	0.906000	0.733054	0.276344	3038.7	discard	ARCFACE_LOSS_WEIGHT=0.1 -- too strong, hurts cosine
efb94a2	0.807311	0.850600	0.905000	0.764023	0.245285	3038.7	keep	ARCFACE_M=0.3 (easier margin, slight gain)
7b808ea	0.809731	0.849200	0.903000	0.770261	0.235563	3038.7	keep	ARCFACE_PHASEOUT_EPOCH=5 (ArcFace early, distill-only late)
7d9f84a	0.825489	0.852200	0.910400	0.798778	0.209553	4038.8	INVALID	LCNET_SCALE=1.0 (VIOLATES hard constraint, discarded)
39aada1	0.791590	0.843400	0.899800	0.739780	0.260916	3038.7	discard	RandomGrayscale(0.1)+RandomErasing(0.3) -- too aggressive, hurts both metrics	try gentler augmentation: just RandomGrayscale(0.1) alone
3959d01	0.800106	0.846800	0.906000	0.753412	0.253829	3038.7	discard	RandomGrayscale(0.1) only -- still worse, grayscale hurts color-dependent product features	try stronger ColorJitter instead
a00d857	0.793763	0.836000	0.894400	0.751525	0.255404	3038.7	discard	stronger ColorJitter(0.5/0.5/0.4/0.1 @ p=0.5) -- too aggressive, hurts both	try disabling quality degradation (QUALITY_DEGRADATION_PROB=0)
8a1f741	0.813601	0.845800	0.908400	0.781402	0.226754	3038.7	keep	QUALITY_DEGRADATION_PROB=0.0 -- disabling helps, big cosine gain	try SE_START_BLOCK=6 (more SE blocks for better feature extraction)
a5bca8f	0.771442	0.809000	0.877200	0.733884	0.267276	3130.9	discard	SE_START_BLOCK=6 -- breaks pretrained weight alignment, big drop	try DROP_HARD_RATIO=0.0 (keep all negatives)
d157297	0.815428	0.848200	0.907000	0.782655	0.225438	3038.7	keep	DROP_HARD_RATIO=0.0 -- keep all negatives, small gain on both metrics	try WEIGHT_DECAY=1e-4 (more regularization)
bab4da4	0.815115	0.848200	0.911000	0.782031	0.225815	3038.7	discard	WEIGHT_DECAY=1e-4 -- no improvement over 1e-5, within noise	try LR=8e-3 (push LR higher since 5e-3 helped)
d93bf58	0.818997	0.852200	0.909200	0.785793	0.222849	3038.7	keep	LR=8e-3 -- higher LR continues to help, both metrics up	try LR=1e-2 (push to safe range limit)
62ba7bd	0.817580	0.848600	0.909800	0.786560	0.222097	3038.7	discard	LR=1e-2 -- past sweet spot, recall@1 drops while cosine barely gains	try BATCH_SIZE=128 (smaller batches, more optimizer steps per epoch)
d63a410	0.823980	0.852600	0.911400	0.795361	0.218305	2535.9	keep	BATCH_SIZE=128 -- big cosine gain, more steps/epoch helps a lot	try BATCH_SIZE=64 (even more steps/epoch)
